generated_at_utc,training_mode,dataset_path,total_rows_used,target,label,rows,mode,r2,mae,accuracy_pct
2026-04-28 09:22:17,legacy_weighted,legacy_weighted_teacher (generated),7290,predicted_lkg_tc,Predicted LKG/TC,7290,holdout,0.7032306153486502,0.16866986935036868,70.32306153486502
2026-04-28 09:22:17,legacy_weighted,legacy_weighted_teacher (generated),7290,predicted_tc_ha,Predicted TC/HA,7290,holdout,0.5413626542993195,71.43345073661652,54.13626542993195
2026-04-28 09:22:17,legacy_weighted,legacy_weighted_teacher (generated),7290,predicted_lkg,Predicted LKG,7290,holdout,0.4773346655053179,65.39352483986058,47.73346655053179
